19(B0.993 E0.533 D0.487 C0.323 A0.001)
27(B0.864 D0.675 E0.647 A0.344 C0.205)
26(E0.747 D0.476 A0.223 C0.097 B0.059)
25(C0.742 E0.641 B0.509 A0.344 D0.086)
48(A0.835 B0.397 D0.347 E0.115 C0.040)
50(E0.847 A0.727 C0.640 B0.606 D0.583)
4(B0.847 A0.781 C0.665 D0.406 E0.043)
9(A0.947 B0.627 E0.372 C0.296 D0.140)
18(B0.614 C0.569 A0.530 D0.379 E0.085)
19(B0.910 E0.879 A0.744 C0.557 D0.404)
50(E0.718 C0.662 B0.295 D0.197 A0.011)
33(C0.903 A0.834 B0.787 E0.379 D0.106)
34(A0.602 D0.520 B0.483 E0.216 C0.047)
3(E0.845 A0.625 D0.416 C0.306 B0.201)
38(D0.786 A0.751 C0.634 B0.412 E0.192)
40(C0.930 B0.758 D0.575 A0.462 E0.107)
20(A0.962 D0.956 E0.698 C0.459 B0.229)
12(B0.462 C0.448 E0.383 A0.303 D0.216)
26(C0.547 A0.305 D0.151 B0.091 E0.009)
1(C0.367 D0.365 A0.121 E0.096 B0.076)
25(C0.813 E0.723 B0.619 A0.588 D0.353)
39(D0.760 A0.604 B0.554 E0.393 C0.247)
31(A1.000 E0.890 D0.793 B0.766 C0.367)
10(C0.790 E0.434 A0.285 D0.017 B0.014)
18(A0.950 D0.689 B0.660 E0.516 C0.007)
41(A0.949 B0.873 D0.409 E0.208 C0.182)
22(D0.722 E0.662 A0.451 C0.444 B0.349)
28(C0.861 B0.634 D0.398 E0.253 A0.140)
3(C0.556 E0.487 B0.267 A0.238 D0.179)
23(D0.822 C0.514 B0.300 A0.209 E0.067)
21(C0.896 B0.891 A0.853 D0.472 E0.353)
22(E0.908 C0.599 D0.129 A0.103 B0.018)
19(B0.741 E0.641 A0.549 D0.257 C0.186)
20(B0.671 A0.589 E0.312 C0.059 D0.027)
21(E0.946 C0.894 B0.838 A0.672 D0.255)
7(E0.680 D0.648 C0.556 A0.407 B0.088)
35(C0.958 D0.871 B0.363 E0.306 A0.144)
40(C0.987 D0.888 B0.527 E0.492 A0.469)
29(E0.552 D0.420 A0.397 C0.348 B0.276)
2(B0.854 A0.504 E0.438 C0.195 D0.116)
35(D0.899 A0.482 C0.365 E0.316 B0.179)
50(D0.653 A0.466 B0.401 E0.126 C0.033)
36(A0.907 E0.765 D0.599 C0.595 B0.511)
4(A0.912 B0.773 C0.652 D0.307 E0.117)
43(A0.974 C0.952 D0.802 E0.341 B0.148)
34(D0.691 C0.554 E0.356 A0.332 B0.057)
14(C0.757 E0.714 A0.551 B0.451 D0.002)
38(D0.813 A0.506 B0.420 E0.419 C0.046)
17(E0.831 B0.805 D0.789 A0.717 C0.554)
39(E0.730 A0.719 D0.337 B0.073 C0.061)
2(B0.856 D0.849 A0.640 C0.389 E0.003)
50(D0.743 B0.705 C0.656 E0.625 A0.267)
48(E0.742 A0.358 D0.320 B0.159 C0.062)
20(C0.863 E0.736 B0.733 D0.637 A0.416)
8(B0.867 D0.578 E0.513 C0.347 A0.083)
20(C0.835 A0.578 B0.481 E0.346 D0.092)
4(B0.952 A0.728 D0.442 E0.175 C0.050)
1(B0.942 A0.888 C0.715 E0.437 D0.112)
34(C0.931 E0.811 B0.714 A0.624 D0.435)
7(E0.784 B0.713 C0.679 A0.495 D0.111)
45(A0.970 D0.856 E0.822 B0.619 C0.318)
19(B0.390 E0.174 A0.144 C0.066 D0.011)
30(A0.748 C0.708 D0.346 B0.277 E0.192)
38(A0.389 C0.338 D0.314 E0.213 B0.104)
33(A0.922 E0.854 C0.841 D0.777 B0.486)
45(A0.715 E0.621 D0.443 C0.109 B0.088)
34(A0.714 E0.606 D0.429 C0.118 B0.104)
14(A0.986 D0.972 C0.766 E0.763 B0.060)
21(D0.851 C0.463 B0.405 A0.142 E0.121)
16(B0.871 C0.760 A0.641 E0.209 D0.020)
14(B0.728 C0.683 D0.549 A0.306 E0.017)
49(B0.987 C0.341 A0.267 E0.112 D0.081)
25(B0.967 C0.630 A0.423 D0.200 E0.174)
8(D0.544 A0.542 B0.277 C0.030 E0.011)
3(C0.965 E0.950 D0.778 A0.714 B0.254)
0(C0.948 D0.895 E0.683 A0.388 B0.282)
34(B0.832 E0.772 C0.408 A0.197 D0.056)
1(D0.814 A0.497 B0.477 C0.411 E0.107)
41(E0.744 C0.483 B0.400 A0.341 D0.011)
1(C0.966 B0.885 E0.691 D0.691 A0.068)
1(A0.878 B0.759 D0.675 C0.107 E0.067)
29(A0.806 D0.643 C0.635 E0.589 B0.111)
44(D0.790 E0.437 B0.283 A0.218 C0.138)
20(B0.638 A0.631 E0.456 D0.355 C0.233)
24(A0.508 D0.490 E0.466 B0.424 C0.308)
35(B0.982 D0.797 C0.513 A0.332 E0.006)
14(A0.915 B0.330 C0.326 E0.318 D0.185)
13(E0.796 A0.719 B0.688 C0.264 D0.069)
30(A0.937 D0.921 B0.916 C0.237 E0.181)
2(B0.823 C0.753 A0.518 D0.432 E0.360)
27(E0.981 A0.707 D0.394 B0.179 C0.106)
15(E0.889 A0.578 B0.515 D0.404 C0.004)
48(A0.866 E0.820 C0.803 D0.144 B0.035)
30(C0.796 D0.664 A0.459 B0.431 E0.302)
1(D0.939 A0.545 C0.412 E0.190 B0.047)
28(E0.825 B0.180 D0.149 C0.145 A0.132)
47(B0.830 A0.788 E0.731 C0.539 D0.446)
6(A0.788 D0.625 E0.424 B0.243 C0.203)
40(D0.904 B0.629 C0.557 A0.337 E0.114)
13(D0.951 C0.948 B0.832 A0.674 E0.388)
1(B0.789 E0.763 C0.709 A0.178 D0.136)
27(E0.767 D0.759 A0.173 C0.141 B0.050)
20(E0.980 A0.675 B0.507 D0.447 C0.035)
40(D0.830 A0.461 E0.350 C0.204 B0.105)
18(B0.988 D0.904 E0.572 A0.270 C0.118)
42(C0.837 D0.825 B0.693 E0.491 A0.202)
17(E0.592 B0.590 D0.462 A0.262 C0.188)
21(D0.596 E0.534 A0.500 B0.473 C0.046)
32(A0.883 E0.444 B0.356 C0.300 D0.269)
6(E0.566 C0.543 B0.484 A0.353 D0.211)
23(C0.930 D0.736 B0.239 E0.089 A0.064)
49(A0.867 D0.756 B0.277 C0.260 E0.230)
42(B0.921 E0.832 D0.704 A0.219 C0.007)
43(D0.830 A0.709 C0.478 E0.472 B0.199)
10(A0.908 E0.865 C0.510 B0.361 D0.129)
22(E0.850 A0.769 B0.582 D0.429 C0.005)
31(E0.853 A0.683 B0.624 C0.277 D0.033)
26(B0.990 A0.842 E0.668 C0.237 D0.224)
2(E0.805 D0.746 B0.657 C0.320 A0.259)
36(B0.826 A0.822 E0.812 C0.269 D0.074)
15(B0.947 D0.723 A0.566 E0.256 C0.198)
50(C0.935 A0.800 E0.729 B0.438 D0.170)
49(C0.919 B0.879 A0.655 D0.110 E0.097)
15(A0.805 C0.766 E0.719 B0.665 D0.186)
16(D0.755 A0.749 E0.703 B0.364 C0.303)
4(B0.866 E0.399 D0.243 C0.145 A0.047)
36(B0.779 E0.640 D0.143 C0.128 A0.126)
40(A0.765 B0.514 E0.451 C0.022 D0.017)
29(C0.412 A0.337 D0.253 B0.144 E0.106)
28(C0.786 E0.747 D0.691 B0.148 A0.004)
40(B0.724 A0.644 D0.574 E0.309 C0.089)
11(E0.869 B0.647 C0.605 A0.371 D0.170)
4(C0.877 A0.768 D0.711 B0.654 E0.548)
34(D0.811 A0.683 B0.506 C0.483 E0.255)
27(B0.796 C0.537 E0.375 D0.025 A0.014)
36(E0.747 B0.400 D0.380 C0.268 A0.147)
30(E0.999 D0.998 C0.930 B0.647 A0.364)
20(D0.907 A0.827 C0.776 B0.627 E0.431)
47(A0.920 C0.608 D0.501 E0.459 B0.225)
50(D0.772 C0.723 A0.700 E0.460 B0.054)
31(E0.894 D0.775 C0.692 A0.346 B0.101)
40(A0.843 D0.780 C0.720 B0.376 E0.018)
37(A0.907 E0.616 C0.395 D0.330 B0.317)
50(E0.856 D0.410 B0.188 A0.165 C0.127)
3(C0.920 D0.919 A0.557 B0.371 E0.062)
30(E0.858 D0.667 A0.571 C0.536 B0.038)
23(E0.818 A0.812 B0.120 D0.103 C0.024)
29(A0.936 C0.801 D0.452 E0.363 B0.187)
38(B0.724 D0.660 E0.612 C0.386 A0.144)
32(A0.658 D0.587 E0.232 B0.087 C0.024)
44(A0.860 E0.818 D0.705 C0.682 B0.088)
34(A0.964 D0.790 C0.599 B0.242 E0.063)
20(E0.767 D0.658 B0.147 C0.119 A0.112)
47(B0.939 A0.796 E0.224 D0.064 C0.011)
29(E0.924 C0.766 D0.739 B0.194 A0.178)
6(B0.923 D0.453 E0.319 A0.248 C0.009)
26(E0.972 B0.641 A0.529 C0.282 D0.143)
41(A0.959 E0.801 B0.670 D0.510 C0.319)
11(C0.892 E0.818 B0.702 A0.512 D0.390)
48(C0.669 E0.636 B0.317 D0.248 A0.079)
30(E0.666 C0.409 A0.235 D0.223 B0.165)
34(B0.763 A0.501 E0.497 C0.235 D0.189)
29(B0.920 E0.563 A0.416 C0.311 D0.151)
3(B0.942 D0.544 E0.503 C0.439 A0.126)
48(A0.846 C0.740 B0.526 D0.419 E0.112)
18(E0.769 B0.632 C0.370 A0.226 D0.151)
21(B0.738 E0.649 A0.435 D0.252 C0.047)
8(B0.882 D0.822 A0.779 C0.715 E0.482)
41(A0.969 B0.928 C0.378 E0.371 D0.128)
39(D0.856 A0.798 C0.685 E0.632 B0.152)
40(D0.970 B0.902 C0.812 A0.076 E0.027)
21(B0.939 E0.904 A0.824 C0.750 D0.556)
21(B0.926 D0.890 E0.785 A0.731 C0.144)
15(E0.793 B0.751 A0.500 D0.373 C0.130)
25(D0.818 C0.698 B0.582 A0.313 E0.128)
2(A0.714 D0.569 C0.388 E0.261 B0.258)
22(D0.912 A0.745 E0.488 B0.066 C0.005)
36(E0.952 A0.930 B0.924 C0.167 D0.157)
49(A0.558 B0.269 E0.253 C0.165 D0.067)
42(C0.648 E0.527 D0.299 B0.180 A0.151)
29(D0.916 E0.811 A0.352 C0.343 B0.262)
42(E0.843 A0.829 D0.716 B0.241 C0.005)
42(D0.920 B0.755 A0.418 E0.289 C0.202)
5(E0.968 D0.820 B0.634 A0.330 C0.038)
22(D0.944 C0.753 E0.662 B0.541 A0.094)
43(E0.722 A0.651 C0.466 B0.209 D0.147)
28(B0.996 A0.936 C0.908 E0.477 D0.216)
38(B0.783 A0.768 E0.552 C0.023 D0.021)
8(B0.994 C0.868 A0.791 E0.704 D0.689)
39(A0.975 B0.604 E0.492 C0.341 D0.077)
49(C0.868 D0.714 B0.530 E0.031 A0.023)
17(B0.948 A0.900 C0.863 E0.770 D0.245)
0(C0.820 E0.737 A0.469 D0.373 B0.151)
39(D0.813 B0.696 A0.307 E0.195 C0.088)
20(D0.267 B0.237 E0.210 A0.166 C0.076)
29(B0.527 C0.502 A0.294 D0.186 E0.060)
48(D0.984 C0.616 B0.532 A0.398 E0.253)
40(C0.989 E0.730 A0.702 B0.571 D0.415)
21(E0.875 D0.816 A0.793 C0.784 B0.056)
50(D0.746 C0.572 E0.525 B0.219 A0.127)
48(A0.826 C0.414 E0.398 B0.237 D0.122)
44(D0.810 C0.673 A0.284 E0.206 B0.044)
3(B0.948 C0.826 D0.808 A0.530 E0.383)
0(A0.995 D0.962 E0.862 C0.401 B0.126)
33(E0.556 B0.533 C0.354 D0.249 A0.050)
49(B0.741 E0.581 D0.525 A0.315 C0.069)
42(D0.984 E0.880 A0.630 B0.620 C0.051)
24(E0.494 A0.483 B0.377 D0.323 C0.024)
4(D0.914 E0.674 A0.544 B0.493 C0.042)
31(D0.715 E0.425 C0.291 B0.233 A0.178)
17(C0.987 D0.409 A0.260 B0.198 E0.109)
20(C0.907 D0.894 E0.790 B0.528 A0.271)
19(D0.995 E0.873 B0.614 C0.007 A0.005)
21(B0.958 E0.942 A0.723 C0.310 D0.071)
10(A0.791 C0.718 B0.544 D0.221 E0.072)
22(D0.708 C0.635 E0.505 A0.484 B0.172)
32(B0.546 A0.493 D0.445 E0.107 C0.014)
42(C0.931 B0.774 E0.531 A0.371 D0.181)
41(A0.974 C0.788 D0.681 B0.136 E0.036)
45(D0.568 E0.524 B0.303 C0.207 A0.136)
32(B0.938 D0.831 A0.819 E0.665 C0.047)
33(E0.911 C0.182 B0.174 A0.135 D0.046)
28(C0.851 A0.708 E0.663 D0.567 B0.530)
24(E0.834 D0.652 A0.650 C0.282 B0.097)
22(E0.769 D0.604 B0.279 A0.118 C0.051)
43(E0.745 C0.607 A0.380 D0.265 B0.193)
12(C0.884 A0.569 D0.182 E0.051 B0.017)
37(A0.923 C0.780 E0.744 B0.629 D0.437)
2(D0.849 C0.550 B0.425 E0.292 A0.046)
23(D0.661 A0.594 B0.302 E0.195 C0.194)
20(C0.893 D0.727 A0.684 B0.448 E0.268)
2(B0.753 D0.465 E0.443 A0.366 C0.212)
19(C0.752 D0.517 E0.512 B0.381 A0.237)
18(E0.883 D0.656 B0.551 A0.213 C0.072)
11(B0.791 D0.753 C0.434 A0.184 E0.074)
21(B0.823 A0.400 D0.206 C0.150 E0.080)
50(E0.671 A0.490 D0.484 C0.288 B0.144)
30(B0.975 A0.877 E0.567 C0.533 D0.500)
8(B0.902 C0.761 D0.738 E0.415 A0.196)
45(B0.845 D0.478 E0.294 C0.270 A0.093)
20(E0.907 C0.589 A0.297 D0.146 B0.144)
45(A0.749 B0.289 C0.267 D0.245 E0.017)
8(D0.810 B0.671 A0.544 E0.119 C0.092)
1(D0.995 A0.871 E0.714 B0.392 C0.165)
33(E0.867 B0.757 C0.646 D0.360 A0.198)
30(D0.554 C0.435 B0.333 A0.162 E0.025)
32(A0.809 E0.687 B0.486 C0.419 D0.340)
44(B0.926 E0.678 D0.665 A0.346 C0.076)
20(D0.914 E0.825 B0.567 C0.381 A0.295)
17(C0.857 D0.546 B0.399 E0.310 A0.050)
47(D0.765 B0.540 A0.140 C0.092 E0.011)
10(D0.580 C0.562 B0.549 E0.310 A0.193)
43(D0.958 B0.929 A0.884 C0.300 E0.296)
1(D0.822 E0.724 B0.697 C0.448 A0.386)
30(D0.956 E0.950 A0.863 C0.847 B0.681)
18(B0.914 D0.798 E0.698 A0.232 C0.064)
43(D0.742 E0.525 A0.467 C0.078 B0.014)
29(B0.879 A0.876 D0.785 E0.417 C0.303)
27(B0.817 A0.616 E0.260 C0.123 D0.067)
17(E0.852 D0.715 A0.461 C0.317 B0.310)
12(D0.568 B0.491 E0.459 C0.174 A0.123)
26(B0.799 C0.720 A0.518 E0.261 D0.200)
26(E0.900 B0.804 D0.444 C0.426 A0.229)
39(C0.932 E0.809 A0.669 B0.318 D0.185)
16(A0.775 B0.672 C0.600 E0.547 D0.516)
40(B0.423 E0.346 C0.225 A0.073 D0.018)
26(E0.550 B0.407 A0.311 D0.113 C0.048)
17(A0.963 B0.941 E0.912 C0.384 D0.007)
22(C0.794 E0.726 B0.644 D0.235 A0.062)
18(B0.940 C0.863 D0.608 A0.255 E0.080)
38(A0.831 B0.717 D0.463 C0.309 E0.227)
44(D0.986 A0.968 E0.834 B0.630 C0.293)
41(A0.956 E0.765 D0.652 B0.381 C0.124)
46(E0.840 B0.725 D0.599 C0.543 A0.264)
36(D0.992 C0.956 B0.647 E0.604 A0.268)
45(C0.423 D0.378 A0.244 E0.212 B0.131)
16(E0.985 A0.862 D0.821 C0.090 B0.086)
42(D0.565 C0.561 B0.520 A0.236 E0.156)
31(C0.867 E0.814 B0.231 A0.219 D0.179)
37(C0.765 A0.535 D0.437 B0.320 E0.093)
3(D0.684 B0.680 A0.340 E0.191 C0.050)
27(A0.971 C0.699 E0.645 B0.300 D0.024)
12(C0.802 A0.753 B0.607 E0.413 D0.109)
25(B0.934 E0.865 A0.467 D0.103 C0.053)
42(A0.993 E0.823 B0.798 C0.454 D0.131)
32(B0.733 C0.717 A0.533 D0.509 E0.019)
22(D0.736 B0.700 C0.551 E0.276 A0.006)
37(B0.987 A0.752 D0.351 E0.189 C0.117)
10(D0.581 C0.572 E0.455 B0.369 A0.326)
48(C0.902 E0.568 D0.506 A0.214 B0.032)
45(C0.968 A0.638 B0.183 E0.153 D0.043)
9(D0.903 A0.539 C0.503 E0.237 B0.230)
5(A0.976 C0.941 B0.546 E0.466 D0.015)
26(C0.635 B0.449 D0.282 E0.273 A0.044)
44(E0.950 A0.913 D0.779 C0.394 B0.180)
17(E0.567 C0.364 A0.265 B0.143 D0.109)
39(D0.772 C0.771 A0.632 B0.343 E0.078)
38(D0.896 B0.820 C0.321 A0.275 E0.094)
42(C0.947 D0.861 E0.351 B0.226 A0.097)
13(E0.925 A0.733 D0.724 B0.618 C0.463)
49(C0.955 D0.689 B0.367 A0.240 E0.055)
12(B0.848 E0.782 D0.540 C0.532 A0.486)
26(A0.771 C0.667 E0.570 B0.553 D0.345)
23(B0.775 D0.531 A0.285 E0.196 C0.081)
40(D0.898 B0.750 E0.659 C0.479 A0.200)
15(D0.714 A0.619 C0.507 E0.427 B0.049)
12(B0.971 C0.966 D0.927 E0.145 A0.036)
39(B0.898 E0.739 D0.664 A0.318 C0.241)
18(C0.966 E0.902 A0.893 D0.494 B0.086)
31(D0.821 B0.377 C0.297 E0.219 A0.046)
4(B0.909 C0.633 A0.538 D0.507 E0.234)
6(A0.919 D0.740 B0.611 C0.326 E0.264)
7(B0.702 A0.590 E0.408 D0.380 C0.077)
3(C0.981 E0.769 D0.696 A0.453 B0.123)
28(D0.867 C0.846 A0.227 B0.088 E0.027)
49(B0.960 E0.903 C0.601 A0.393 D0.300)
31(B0.594 D0.534 E0.328 A0.295 C0.204)
42(A0.557 E0.365 D0.357 B0.342 C0.041)
33(D0.719 B0.600 C0.361 E0.219 A0.124)
40(B0.995 C0.875 A0.452 D0.404 E0.214)
26(C0.941 E0.382 B0.112 A0.090 D0.078)
47(C0.546 D0.539 B0.488 A0.202 E0.196)
0(D0.978 C0.577 E0.567 B0.503 A0.365)
19(A0.958 E0.505 C0.466 D0.117 B0.094)
43(D0.584 C0.437 E0.135 B0.122 A0.117)
46(B0.921 C0.857 E0.661 A0.308 D0.088)
37(B0.802 C0.776 E0.638 D0.294 A0.270)
38(A0.969 D0.859 C0.775 B0.620 E0.116)
43(D0.988 C0.733 A0.678 B0.086 E0.076)
8(B0.818 D0.807 E0.604 A0.596 C0.055)
30(C0.823 A0.723 E0.332 B0.331 D0.314)
3(A0.829 C0.735 B0.413 E0.388 D0.360)
27(A0.871 C0.729 D0.591 E0.452 B0.097)
15(E0.861 A0.790 D0.592 B0.335 C0.215)
15(B0.865 C0.864 E0.841 D0.805 A0.009)
25(D0.794 A0.604 B0.375 E0.355 C0.343)
10(C0.855 D0.561 A0.420 B0.255 E0.020)
30(E0.921 A0.573 D0.258 C0.139 B0.043)
37(C0.959 B0.596 E0.260 A0.120 D0.115)
48(E0.941 C0.657 B0.208 D0.198 A0.096)
39(D0.902 C0.616 E0.359 A0.325 B0.304)
35(A0.945 B0.885 E0.466 D0.255 C0.026)
49(A0.891 E0.871 C0.717 D0.287 B0.247)
23(D0.751 A0.689 C0.621 B0.363 E0.067)
3(B0.903 D0.709 C0.613 A0.206 E0.011)
34(C0.942 B0.845 A0.644 D0.046 E0.018)
9(A0.993 D0.907 C0.652 E0.526 B0.329)
41(B0.713 C0.613 D0.597 A0.542 E0.061)
49(D0.984 C0.457 B0.420 A0.091 E0.048)
1(D0.956 E0.716 A0.664 C0.372 B0.342)
6(C0.709 A0.599 E0.585 B0.115 D0.087)
38(A0.840 B0.558 C0.492 E0.416 D0.245)
28(C0.619 E0.589 D0.357 B0.281 A0.048)
40(E0.601 B0.450 A0.292 D0.242 C0.153)
2(A0.982 E0.570 D0.563 C0.154 B0.086)
16(E0.949 C0.550 A0.261 B0.160 D0.101)
48(B1.000 E0.846 D0.500 A0.235 C0.156)
21(A0.708 D0.450 B0.448 E0.335 C0.321)
0(E0.922 B0.806 D0.719 A0.524 C0.023)
10(C0.766 B0.670 E0.610 D0.551 A0.293)
29(B0.771 C0.612 D0.539 A0.064 E0.021)
49(E0.989 A0.347 B0.331 C0.198 D0.132)
33(D0.976 C0.549 B0.497 A0.183 E0.164)
36(A0.852 D0.693 B0.438 C0.218 E0.026)
13(B0.853 D0.729 A0.586 E0.314 C0.105)
22(E0.683 A0.641 B0.524 D0.302 C0.110)
33(B0.908 D0.875 A0.796 C0.197 E0.149)
15(A0.856 C0.769 E0.726 B0.637 D0.033)
0(D0.894 C0.686 B0.652 A0.630 E0.599)
36(B0.898 A0.739 C0.545 E0.351 D0.294)
35(E0.783 D0.782 C0.543 B0.361 A0.085)
40(A0.940 C0.650 D0.605 B0.484 E0.160)
11(B0.982 A0.675 D0.200 E0.181 C0.011)
28(D0.913 E0.781 A0.743 B0.423 C0.008)
44(B0.712 D0.595 C0.553 A0.425 E0.015)
42(B0.837 D0.329 A0.329 E0.280 C0.070)
39(A0.850 D0.609 E0.569 C0.378 B0.008)
14(A0.895 B0.582 C0.275 D0.247 E0.180)
41(A0.570 B0.512 E0.408 D0.201 C0.073)
0(C0.795 B0.730 A0.657 D0.141 E0.104)
25(E0.921 D0.793 A0.711 C0.568 B0.486)
17(D0.852 A0.699 B0.456 E0.444 C0.235)
25(B0.911 E0.536 C0.462 D0.442 A0.150)
5(A0.547 C0.342 D0.150 E0.149 B0.019)
33(A0.934 C0.893 B0.849 E0.597 D0.285)
45(A0.777 C0.519 E0.413 B0.162 D0.068)
21(E0.885 A0.788 D0.473 C0.448 B0.257)
19(A0.917 E0.824 C0.474 B0.377 D0.310)
31(E0.943 D0.937 C0.471 B0.295 A0.212)
47(B0.971 E0.891 C0.837 A0.645 D0.191)
37(E0.968 D0.964 C0.266 B0.177 A0.111)
16(B0.977 E0.839 D0.767 C0.262 A0.063)
9(B0.853 A0.804 E0.562 C0.541 D0.042)
13(B0.914 C0.893 E0.892 A0.851 D0.121)
31(C0.961 A0.813 E0.764 B0.302 D0.116)
24(A0.985 E0.967 D0.767 C0.571 B0.538)
7(E0.865 C0.735 D0.719 A0.656 B0.624)
7(B0.774 E0.615 A0.585 D0.268 C0.212)
32(B0.913 C0.885 D0.326 A0.255 E0.008)
11(D0.882 E0.706 B0.521 C0.264 A0.137)
12(E0.837 D0.217 A0.200 B0.175 C0.107)
38(A0.913 D0.658 B0.611 C0.111 E0.022)
32(E0.838 A0.833 C0.597 D0.416 B0.011)
39(D0.772 A0.764 C0.480 E0.418 B0.003)
39(E0.767 A0.565 B0.406 D0.173 C0.011)
27(A0.982 B0.457 C0.346 E0.127 D0.087)
38(B0.795 C0.639 D0.476 A0.436 E0.185)
2(C0.615 D0.602 B0.292 E0.218 A0.132)
50(C0.778 E0.524 B0.255 D0.164 A0.072)
46(A0.935 E0.798 D0.678 B0.410 C0.265)
23(E0.625 D0.376 A0.308 C0.292 B0.194)
27(E0.892 A0.747 C0.634 B0.325 D0.136)
8(D0.924 C0.713 B0.348 A0.269 E0.117)
37(C0.847 D0.783 E0.348 B0.275 A0.115)
25(E0.807 B0.807 C0.762 A0.405 D0.396)
26(E0.981 B0.631 A0.547 C0.265 D0.004)
26(C0.108 D0.094 E0.086 A0.043 B0.033)
8(D0.938 C0.766 A0.204 B0.157 E0.120)
34(A0.636 E0.257 C0.237 B0.052 D0.049)
21(C0.464 D0.429 A0.107 E0.082 B0.074)
3(C0.975 A0.581 B0.333 D0.306 E0.071)
0(B1.000 C0.898 A0.862 E0.287 D0.174)
25(A0.952 E0.801 B0.576 C0.560 D0.122)
32(B0.846 E0.828 D0.814 C0.515 A0.002)
33(D0.583 B0.557 E0.461 C0.351 A0.140)
48(D0.899 B0.837 E0.482 A0.315 C0.160)
38(B0.973 C0.791 A0.770 E0.412 D0.252)
23(B0.765 A0.722 C0.665 D0.406 E0.048)
3(A0.995 E0.781 D0.718 C0.599 B0.148)
16(B0.986 A0.824 C0.609 E0.185 D0.106)
40(A0.469 E0.345 C0.175 D0.155 B0.138)
36(D0.873 B0.531 E0.141 C0.140 A0.058)
38(C0.738 E0.715 A0.529 B0.229 D0.134)
36(B0.951 E0.861 C0.777 A0.614 D0.198)
27(E0.659 C0.462 A0.380 D0.232 B0.060)
36(D0.364 E0.340 A0.221 B0.082 C0.033)
7(E0.613 A0.609 D0.385 C0.255 B0.034)
0(E0.870 A0.645 C0.633 B0.562 D0.114)
49(A0.764 C0.484 E0.378 D0.178 B0.107)
39(A0.846 B0.704 D0.641 E0.324 C0.056)
48(C0.759 B0.681 E0.551 D0.422 A0.310)
35(C0.825 E0.639 A0.228 B0.178 D0.069)
9(B0.992 A0.924 D0.396 E0.271 C0.151)
31(A0.890 E0.838 C0.588 D0.402 B0.298)
29(B0.889 D0.537 C0.413 E0.290 A0.256)
39(C0.961 E0.939 D0.914 B0.851 A0.680)
29(C0.877 A0.550 D0.357 B0.206 E0.104)
5(B0.898 C0.574 D0.401 A0.209 E0.003)
10(B0.980 E0.779 C0.584 D0.351 A0.075)
16(C0.950 B0.829 E0.558 D0.528 A0.510)
31(E0.942 D0.879 A0.832 B0.558 C0.286)
39(D0.576 A0.569 C0.389 E0.183 B0.011)
13(A0.807 C0.795 B0.368 E0.155 D0.064)
29(B0.980 A0.661 E0.613 C0.612 D0.576)
28(C0.933 A0.923 E0.798 B0.080 D0.018)
42(A0.868 D0.789 E0.568 B0.266 C0.245)
43(A0.843 D0.732 B0.346 C0.124 E0.036)
38(E0.866 C0.828 D0.703 A0.473 B0.275)
17(D0.983 C0.852 E0.787 B0.784 A0.550)
1(E0.756 B0.591 D0.384 C0.209 A0.176)
5(B0.979 C0.929 A0.420 E0.386 D0.299)
4(A0.938 E0.879 B0.652 D0.345 C0.086)
3(B0.969 D0.838 A0.807 E0.352 C0.120)
18(D0.778 E0.701 C0.390 B0.157 A0.110)
10(E0.959 A0.947 C0.929 D0.600 B0.343)
49(A0.933 C0.751 E0.414 D0.393 B0.329)
45(D0.935 C0.743 E0.656 A0.167 B0.072)
5(E0.979 D0.977 A0.828 B0.430 C0.104)
34(A0.904 D0.593 B0.282 E0.270 C0.091)
43(D0.798 E0.619 A0.605 C0.497 B0.368)
4(A0.711 B0.630 C0.234 E0.182 D0.080)
33(B0.628 E0.457 D0.246 C0.213 A0.138)
15(D0.929 B0.799 E0.379 A0.328 C0.245)
23(B0.684 E0.349 A0.108 C0.083 D0.057)
36(A0.969 C0.494 E0.309 D0.124 B0.008)
17(E0.888 C0.750 A0.301 B0.105 D0.018)
13(A0.854 E0.842 D0.776 C0.367 B0.067)
34(E0.932 D0.528 A0.500 C0.360 B0.250)
14(D0.358 E0.356 A0.204 C0.150 B0.090)
14(C0.579 A0.569 E0.491 B0.205 D0.156)
44(A0.750 C0.648 D0.624 E0.463 B0.086)
9(A0.946 C0.904 E0.787 B0.734 D0.023)
35(D0.663 E0.656 B0.605 C0.530 A0.181)
0(C0.600 D0.556 A0.382 E0.180 B0.050)
41(B0.865 A0.783 C0.221 D0.206 E0.108)
21(B0.707 D0.670 E0.210 C0.135 A0.032)
4(E0.831 B0.804 D0.740 C0.488 A0.152)
26(A0.946 E0.656 B0.464 C0.408 D0.288)
36(D0.862 C0.773 A0.761 B0.635 E0.291)
31(A0.989 C0.296 E0.176 B0.155 D0.063)
45(E0.925 C0.810 B0.772 D0.431 A0.427)
33(E0.855 A0.747 B0.675 D0.121 C0.111)
23(C0.928 D0.701 B0.635 A0.351 E0.085)
39(D0.881 B0.754 A0.571 C0.422 E0.299)
16(B0.876 A0.799 C0.559 D0.452 E0.370)
37(A0.997 C0.381 B0.290 E0.273 D0.071)
31(C0.623 D0.464 A0.290 B0.113 E0.100)
45(E0.838 B0.706 A0.670 C0.641 D0.629)
30(B0.938 E0.872 A0.771 C0.712 D0.334)
30(D0.994 B0.530 C0.265 E0.228 A0.110)
